"","lr_pair","ligand","receptor"
"1377","Vegfc_Flt4","Vegfc","Flt4"
"1378","Agtrap_Rack1","Agtrap","Rack1"
"1379","Dkk3_Kremen1","Dkk3","Kremen1"
"1380","Dkk4_Kremen1","Dkk4","Kremen1"
"1381","Dkk1_Kremen1","Dkk1","Kremen1"
"1382","Lgals9_Havcr2","Lgals9","Havcr2"
"1383","Hmgb1_Havcr2","Hmgb1","Havcr2"
"1384","Lypd3_Agr2","Lypd3","Agr2"
"1385","Apoe_Sdc1","Apoe","Sdc1"
"1386","Ptn_Sdc1","Ptn","Sdc1"
"1387","Thbs1_Sdc1","Thbs1","Sdc1"
"1388","Fgf2_Sdc1","Fgf2","Sdc1"
"1389","Sema6d_Nrcam","Sema6d","Nrcam"
"1390","Vwf_Itgb3","Vwf","Itgb3"
"1391","Angptl3_Itgb3","Angptl3","Itgb3"
"1392","Cx3cl1_Itgb3","Cx3cl1","Itgb3"
"1393","Hmgb1_Itgb3","Hmgb1","Itgb3"
"1394","Cxcl12_Itgb3","Cxcl12","Itgb3"
"1395","Fga_Itgb3","Fga","Itgb3"
"1396","Tnc_Itgb3","Tnc","Itgb3"
"1397","Fgf2_Itgb3","Fgf2","Itgb3"
"1398","L1cam_Itgb3","L1cam","Itgb3"
"1399","Postn_Itgb3","Postn","Itgb3"
"1400","Spp1_Itgb3","Spp1","Itgb3"
"1401","Vegfa_Itgb3","Vegfa","Itgb3"
"1402","Igf1_Itgb3","Igf1","Itgb3"
"1403","Reln_Itgb3","Reln","Itgb3"
"1404","Thbs1_Itgb3","Thbs1","Itgb3"
"1405","Mfge8_Itgb3","Mfge8","Itgb3"
"1406","Lgals3_Itgb3","Lgals3","Itgb3"
"1407","Mmp2_Itgb3","Mmp2","Itgb3"
"1408","Calm1_Scn4a","Calm1","Scn4a"
"1409","Calm2_Scn4a","Calm2","Scn4a"
"1410","Cd40lg_Traf3","Cd40lg","Traf3"
"1411","S100a1_Ryr2","S100a1","Ryr2"
"1412","Gdf5_Ror2","Gdf5","Ror2"
"1413","Wnt5a_Ror2","Wnt5a","Ror2"
"1414","Ihh_Ptch1","Ihh","Ptch1"
"1415","F2_F2rl2","F2","F2rl2"
"1416","F7_F2rl1","F7","F2rl1"
"1417","F2_F2rl1","F2","F2rl1"
"1418","Tnfsf10_Tnfrsf10b","Tnfsf10","Tnfrsf10b"
"1419","Fadd_Tnfrsf10b","Fadd","Tnfrsf10b"
"1420","Nrtn_Gfra2","Nrtn","Gfra2"
"1421","Gdnf_Gfra2","Gdnf","Gfra2"
"1422","Artn_Gfra2","Artn","Gfra2"
"1423","Osm_Osmr","Osm","Osmr"
"1424","Il31_Osmr","Il31","Osmr"
"1425","Vegfa_Sdc2","Vegfa","Sdc2"
"1426","Ptn_Sdc2","Ptn","Sdc2"
"1427","Hgf_Sdc2","Hgf","Sdc2"
"1428","Fgf2_Sdc2","Fgf2","Sdc2"
"1429","Mmp2_Sdc2","Mmp2","Sdc2"
"1430","Cthrc1_Fzd6","Cthrc1","Fzd6"
"1431","Wnt4_Fzd6","Wnt4","Fzd6"
"1432","Wnt5a_Fzd6","Wnt5a","Fzd6"
"1433","Wnt10b_Fzd6","Wnt10b","Fzd6"
"1434","Wnt1_Fzd6","Wnt1","Fzd6"
"1435","Calm1_Adcy8","Calm1","Adcy8"
"1436","Calm2_Adcy8","Calm2","Adcy8"
"1437","Nptx2_Nptxr","Nptx2","Nptxr"
"1438","Nptx1_Nptxr","Nptx1","Nptxr"
"1439","Angptl3_Itga5","Angptl3","Itga5"
"1440","Cxcl12_Itga5","Cxcl12","Itga5"
"1441","Fga_Itga5","Fga","Itga5"
"1442","Fgg_Itga5","Fgg","Itga5"
"1443","Fgb_Itga5","Fgb","Itga5"
"1444","L1cam_Itga5","L1cam","Itga5"
"1445","Postn_Itga5","Postn","Itga5"
"1446","Fn1_Itga5","Fn1","Itga5"
"1447","Reln_Itga5","Reln","Itga5"
"1448","Adam17_Itga5","Adam17","Itga5"
"1449","Thbs1_Itga5","Thbs1","Itga5"
"1450","Angpt2_Itga5","Angpt2","Itga5"
"1451","Tnfsf13b_Tnfrsf17","Tnfsf13b","Tnfrsf17"
"1452","Angptl8_Gpihbp1","Angptl8","Gpihbp1"
"1453","Apoc3_Gpihbp1","Apoc3","Gpihbp1"
"1454","Cd6_Alcam","Cd6","Alcam"
"1455","S100b_Alcam","S100b","Alcam"
"1456","Afdn_Nectin3","Afdn","Nectin3"
"1457","Trf_Tfrc","Trf","Tfrc"
"1458","Calm1_Mylk","Calm1","Mylk"
"1459","Calm2_Mylk","Calm2","Mylk"
"1460","Slit3_Robo1","Slit3","Robo1"
"1461","Slit2_Robo1","Slit2","Robo1"
"1462","Slit1_Robo1","Slit1","Robo1"
"1463","Ifng_Ifngr2","Ifng","Ifngr2"
"1464","Ifnb1_Ifnar1","Ifnb1","Ifnar1"
"1465","Ucn2_Il10rb","Ucn2","Il10rb"
"1466","Ucn3_Il10rb","Ucn3","Il10rb"
"1467","Ifnb1_Ifnar2","Ifnb1","Ifnar2"
"1468","Amh_Amhr2","Amh","Amhr2"
"1469","Wnt7b_Celsr3","Wnt7b","Celsr3"
"1470","Wnt7a_Celsr3","Wnt7a","Celsr3"
"1471","Igf2_Igf2r","Igf2","Igf2r"
"1472","Tnfsf12_Tnfrsf12a","Tnfsf12","Tnfrsf12a"
"1473","Sema6d_Trem2","Sema6d","Trem2"
"1474","Apoe_Trem2","Apoe","Trem2"
"1475","Lhb_Lhcgr","Lhb","Lhcgr"
"1476","Gnai2_Lhcgr","Gnai2","Lhcgr"
"1477","Gnas_Lhcgr","Gnas","Lhcgr"
"1478","Nrtn_Gfra3","Nrtn","Gfra3"
"1479","Artn_Gfra3","Artn","Gfra3"
"1480","Pdgfa_Pdgfrb","Pdgfa","Pdgfrb"
"1481","Pdgfc_Pdgfrb","Pdgfc","Pdgfrb"
"1482","Pdgfd_Pdgfrb","Pdgfd","Pdgfrb"
"1483","Mfge8_Pdgfrb","Mfge8","Pdgfrb"
"1484","Csf3_Csf1r","Csf3","Csf1r"
"1485","Il34_Csf1r","Il34","Csf1r"
"1486","Calm1_Fas","Calm1","Fas"
"1487","Fadd_Fas","Fadd","Fas"
"1488","Wnt7b_Lrp5","Wnt7b","Lrp5"
"1489","Apoe_Lrp5","Apoe","Lrp5"
"1490","Wnt7a_Lrp5","Wnt7a","Lrp5"
"1491","Tdgf1_Lrp5","Tdgf1","Lrp5"
"1492","Wnt5a_Lrp5","Wnt5a","Lrp5"
"1493","Nrtn_Gfra1","Nrtn","Gfra1"
"1494","Artn_Gfra1","Artn","Gfra1"
"1495","Gnas_Gcgr","Gnas","Gcgr"
"1496","Gcg_Gcgr","Gcg","Gcgr"
"1497","Thbs1_Itgb8","Thbs1","Itgb8"
"1498","Calm1_Mip","Calm1","Mip"
"1499","Alox5ap_Alox5","Alox5ap","Alox5"
"1500","S100a8_Ly96","S100a8","Ly96"
"1501","Cd14_Ly96","Cd14","Ly96"
"1502","Sftpd_Ly96","Sftpd","Ly96"
"1503","Hmgb1_Ly96","Hmgb1","Ly96"
"1504","Pf4_Ccr1","Pf4","Ccr1"
"1505","Ccl5_Ccr1","Ccl5","Ccr1"
"1506","Sema3d_Nrp1","Sema3d","Nrp1"
"1507","Sema3c_Nrp1","Sema3c","Nrp1"
"1508","Vegfa_Nrp1","Vegfa","Nrp1"
"1509","Sema3a_Nrp1","Sema3a","Nrp1"
"1510","Egf_Nrp1","Egf","Nrp1"
"1511","Fgf7_Nrp1","Fgf7","Nrp1"
"1512","Sema3b_Nrp1","Sema3b","Nrp1"
"1513","Ptn_Nrp1","Ptn","Nrp1"
"1514","Hgf_Nrp1","Hgf","Nrp1"
"1515","Cntn2_Nrp1","Cntn2","Nrp1"
"1516","Sema4a_Nrp1","Sema4a","Nrp1"
"1517","Fgf4_Nrp1","Fgf4","Nrp1"
"1518","Sema3e_Nrp1","Sema3e","Nrp1"
"1519","Fgf1_Nrp1","Fgf1","Nrp1"
"1520","Sema3f_Nrp1","Sema3f","Nrp1"
"1521","Fgf2_Nrp1","Fgf2","Nrp1"
"1522","L1cam_Nrp1","L1cam","Nrp1"
"1523","Adam10_Tspan17","Adam10","Tspan17"
"1524","Ntn1_Unc5a","Ntn1","Unc5a"
"1525","Pdyn_Oprk1","Pdyn","Oprk1"
