src_gene,tgt_gene,score,rank,p_value
CXCL1,TNFRSF10D,0.0001867691767984,187,0.0
AMH,EDAR,0.0001834762947078,188,0.0
NTN1,UNC5B,0.000177801463697,189,0.0
TNF,AGER,0.0001750693975883,190,0.01
AREG,IL1RAP,0.0001747657565512,191,0.0
HRAS,LY96,0.0001737511470718,192,0.0
CXCL2,IL10RA,0.0001731231572849,193,0.01
CXCL9,IL15RA,0.0001730138766377,194,0.0
EDN1,FZD7,0.0001726159299084,195,0.01
COMP,ITGA11,0.0001721277757556,196,0.01
PDGFC,CSF1R,0.0001717652633484,197,0.0
SEMA4A,DCC,0.0001711945092027,198,0.0
PTPN6,IL1RL2,0.000167286919248,199,0.0
FGG,F2RL2,0.0001665511286212,200,0.0
OSM,CD4,0.0001625200429174,201,0.01
CXCL11,CD80,0.0001572346015624,202,0.0
CD14,DSG3,0.000154987686877,203,0.0
XCL2,TNFRSF9,0.0001544079520787,204,0.0
IGF2,IL7R,0.0001535864430795,205,0.0
FGF14,KCNQ1,0.0001515773577511,206,0.0
SEMA4B,PLXNA4,0.0001503284365595,207,0.0
WNT2,IGF1R,0.0001479910434528,208,0.0
BMP5,TGFBR2,0.0001380006443053,209,0.0
AGT,SELE,0.0001367230865937,210,0.0
CXCL1,IL1RL1,0.0001359747953161,211,0.0
LAMA5,ITGA5,0.0001305502173053,212,0.0
CCL3L3,TRAF3,0.0001269485390373,213,0.0
NLGN1,ITGB1,0.0001237004059392,214,0.0
CCL3L3,IL13RA2,0.0001211857261396,215,0.0
INHBA,NGFR,0.0001189767923524,216,0.0
VCAM1,ACVR2A,0.0001159326346883,217,0.0
CCL19,CSF1R,0.0001146185827797,218,0.0
FGF11,KCNJ4,0.0001083588558008,219,0.0
NPPA,ADCY8,0.0001037557126139,220,0.0
FGF12,KCNQ1,9.869659494572131e-05,221,0.0
IL12A,CCR5,9.832431179034546e-05,222,0.0
WNT4,TGFBR2,9.787721129366404e-05,223,0.0
TNF,FCER1A,9.211310824769566e-05,224,0.0
WNT5A,ITGA3,8.865825726540686e-05,225,0.01
WNT2B,ITGA2,8.817108651527901e-05,226,0.0
CXCL9,CCR4,8.560294076549998e-05,227,0.0
WNT2B,KDR,8.485807031785734e-05,228,0.0
LAMC3,TLR2,8.381977573318453e-05,229,0.01
CXCL11,CX3CR1,7.426422170034632e-05,230,0.0
SEMA4B,DCC,6.983435692906802e-05,231,0.01
BMP6,HJV,6.89100284588628e-05,232,0.0
GZMB,TNFRSF10A,6.688098969202291e-05,233,0.01
NTF3,ERBB4,6.59260766928471e-05,234,0.0
LAMA5,PTCH2,6.439483741441257e-05,235,0.0
COL4A5,FZD8,6.312791955750982e-05,236,0.0
EDA,IL5RA,6.30449781503474e-05,237,0.0
SEMA4F,UNC5B,6.157449519261836e-05,238,0.0
TNFSF13,IL20RB,6.0982030007846665e-05,239,0.0
NTF3,FGFR3,6.045062502057344e-05,240,0.0
GNB3,IL1RL1,5.96563788603304e-05,241,0.0
VEGFC,KDR,5.92217631405608e-05,242,0.0
CCL19,IL11RA,5.855870597807027e-05,243,0.0
VTN,IGF1R,5.450354399517173e-05,244,0.0
TNF,TNFRSF11A,5.329443298072378e-05,245,0.0
VEGFA,IL1R2,5.2277662650706206e-05,246,0.0
IL6,S1PR1,5.150173800392558e-05,247,0.01
LAMA3,NOTCH2,5.009331777979405e-05,248,0.0
LAMA3,ITGB8,4.958208925586031e-05,249,0.0
NRG3,CD19,4.822101536638563e-05,250,0.0
COL4A6,ITGA11,4.634430165394039e-05,251,0.0
WNT2B,IL15RA,4.437060880286568e-05,252,0.0
IL1A,TNFRSF8,4.432796491081238e-05,253,0.0
CXCL6,TNFRSF10D,4.4000634304927246e-05,254,0.0
S100A8,KDR,4.171196948975073e-05,255,0.0
GZMB,FAS,4.157433945948944e-05,256,0.0
IL33,TNFRSF1B,4.082474753464942e-05,257,0.0
BMP8B,FZD2,4.045538121834998e-05,258,0.0
TNF,CALCR,4.0294861542761954e-05,259,0.01
WNT5B,ERBB4,3.58492711057476e-05,260,0.0
GNB3,RXFP1,3.375597921888119e-05,261,0.0
WNT4,DCC,3.294598490106815e-05,262,0.01
NPPA,ADORA2A,3.0332991920823057e-05,263,0.0
CD14,DCC,2.9464609258052183e-05,264,0.0
BMP4,IL1R2,2.416541095380836e-05,265,0.0
IL1A,FCGR1A,2.346662269158673e-05,266,0.0
VCAM1,SIGIRR,2.321108179108973e-05,267,0.0
IL1B,IL27RA,2.100844146878799e-05,268,0.01
WNT5B,RET,1.9248587947981323e-05,269,0.0
FGF10,IL12RB2,1.6671806573006007e-05,270,0.0
PTPN6,KLRK1,1.60844889355341e-05,271,0.0
SST,GRIN2B,1.5069462954909349e-05,272,0.0
COL1A1,ITGA8,1.41041339439208e-05,273,0.0
COL4A5,LPAR4,1.1209170692665711e-05,274,0.01
FGF13,KCNJ4,1.0964411558046032e-05,275,0.01
IL15,IL12RB1,1.0663610288470036e-05,276,0.0
IGF2,IL2RA,9.29575445513164e-06,277,0.0
LAMB3,ITGA11,9.183273575748342e-06,278,0.0
GSTM2,KDR,8.210264834856015e-06,279,0.0
SHANK2,GRIN2A,7.705560061821965e-06,280,0.0
CCL13,XCR1,6.871061004965855e-06,281,0.0
